Year,Age,Level,Employer,Role,Coach
1985,38,College,Idaho,Head Coach,Dennis Erickson
1986,39,College,Wyoming,Head Coach,Dennis Erickson
1987,40,College,Washington State,Head Coach,Dennis Erickson
1988,41,College,Washington State,Head Coach,Dennis Erickson
1989,42,College,Miami (FL),Head Coach,Dennis Erickson
1990,43,College,Miami (FL),Head Coach,Dennis Erickson
1991,44,College,Miami (FL),Head Coach,Dennis Erickson
1992,45,College,Miami (FL),Head Coach,Dennis Erickson
1993,46,College,Miami (FL),Head Coach,Dennis Erickson
1994,47,College,Miami (FL),Head Coach,Dennis Erickson
1995,48,NFL,Seattle Seahawks,Head Coach,Dennis Erickson
1996,49,NFL,Seattle Seahawks,Head Coach,Dennis Erickson
1997,50,NFL,Seattle Seahawks,Head Coach,Dennis Erickson
1998,51,NFL,Seattle Seahawks,Head Coach,Dennis Erickson
1999,52,College,Oregon State,Head Coach,Dennis Erickson
2000,53,College,Oregon State,Head Coach,Dennis Erickson
2001,54,College,Oregon State,Head Coach,Dennis Erickson
2002,55,College,Oregon State,Head Coach,Dennis Erickson
2003,56,NFL,San Francisco 49ers,Head Coach,Dennis Erickson
2004,57,NFL,San Francisco 49ers,Head Coach,Dennis Erickson
2006,59,College,Idaho,Head Coach,Dennis Erickson
2007,60,College,Arizona State,Head Coach,Dennis Erickson
2008,61,College,Arizona State,Head Coach,Dennis Erickson
2009,62,College,Arizona State,Head Coach,Dennis Erickson
2010,63,College,Arizona State,Head Coach,Dennis Erickson
2011,64,College,Arizona State,Head Coach,Dennis Erickson
2013,66,College,Utah,Running Backs/Offensive Coordinator,Dennis Erickson
2014,67,College,Utah,Running Backs/Assistant Head Coach,Dennis Erickson
2014,67,College,Utah,Running Backs/Offensive Coordinator,Dennis Erickson
2015,68,College,Utah,Running Backs/Assistant Head Coach,Dennis Erickson
2016,69,College,Utah,Running Backs/Assistant Head Coach,Dennis Erickson
2019,72,AAF,Salt Lake Stallions,Head Coach,Dennis Erickson
1977,35,NFL,New Orleans Saints,Tight Ends,Rich Kotite
1978,36,NFL,Cleveland Browns,Wide Receivers,Rich Kotite
1979,37,NFL,Cleveland Browns,Wide Receivers,Rich Kotite
1980,38,NFL,Cleveland Browns,Wide Receivers,Rich Kotite
1981,39,NFL,Cleveland Browns,Wide Receivers,Rich Kotite
1982,40,NFL,Cleveland Browns,Wide Receivers,Rich Kotite
1983,41,NFL,New York Jets,Wide Receivers,Rich Kotite
1984,42,NFL,New York Jets,Wide Receivers,Rich Kotite
1985,43,NFL,New York Jets,Offensive Coordinator,Rich Kotite
1986,44,NFL,New York Jets,Offensive Coordinator,Rich Kotite
1987,45,NFL,New York Jets,Offensive Coordinator,Rich Kotite
1988,46,NFL,New York Jets,Offensive Coordinator,Rich Kotite
1989,47,NFL,New York Jets,Offensive Coordinator,Rich Kotite
1990,48,NFL,Philadelphia Eagles,Offensive Coordinator,Rich Kotite
1991,49,NFL,Philadelphia Eagles,Head Coach,Rich Kotite
1992,50,NFL,Philadelphia Eagles,Head Coach,Rich Kotite
1993,51,NFL,Philadelphia Eagles,Head Coach,Rich Kotite
1994,52,NFL,Philadelphia Eagles,Head Coach,Rich Kotite
1995,53,NFL,New York Jets,Head Coach,Rich Kotite
1996,54,NFL,New York Jets,Head Coach,Rich Kotite
1955,28,College,Carthage Coll.,Assistant Coach,Red Miller
1956,29,College,Carthage Coll.,Assistant Coach,Red Miller
1957,30,College,Carthage Coll.,Assistant Coach,Red Miller
1958,31,College,Western Illinois,Assistant Coach,Red Miller
1959,32,College,Western Illinois,Assistant Coach,Red Miller
1960,33,NFL,Boston Patriots,Assistant Coach,Red Miller
1961,34,NFL,Boston Patriots,Assistant Coach,Red Miller
1962,35,NFL,Buffalo Bills,Offensive Line,Red Miller
1963,36,NFL,Denver Broncos,Offensive Line,Red Miller
1964,37,NFL,Denver Broncos,Offensive Line,Red Miller
1965,38,NFL,Denver Broncos,Offensive Line,Red Miller
1966,39,NFL,St. Louis Cardinals,Offensive Line,Red Miller
1967,40,NFL,St. Louis Cardinals,Offensive Line,Red Miller
1968,41,NFL,St. Louis Cardinals,Offensive Line,Red Miller
1969,42,NFL,St. Louis Cardinals,Offensive Line,Red Miller
1970,43,NFL,St. Louis Cardinals,Offensive Line,Red Miller
1971,44,NFL,Baltimore Colts,Offensive Line,Red Miller
1972,45,NFL,Baltimore Colts,Offensive Line,Red Miller
1973,46,NFL,New England Patriots,Offensive Line,Red Miller
1974,47,NFL,New England Patriots,Offensive Line,Red Miller
1975,48,NFL,New England Patriots,Offensive Line,Red Miller
1976,49,NFL,New England Patriots,Offensive Line,Red Miller
1977,50,NFL,Denver Broncos,Head Coach,Red Miller
1978,51,NFL,Denver Broncos,Head Coach,Red Miller
1979,52,NFL,Denver Broncos,Head Coach,Red Miller
1980,53,NFL,Denver Broncos,Head Coach,Red Miller
1983,56,USFL,Denver Gold,Head Coach,Red Miller
1952,25,College,Florida,Assistant Coach,John Rauch
1953,26,College,Florida,Assistant Coach,John Rauch
1954,27,College,Tulane,Assistant Coach,John Rauch
1955,28,College,Georgia,Assistant Coach,John Rauch
1956,29,College,Georgia,Assistant Coach,John Rauch
1957,30,College,Georgia,Assistant Coach,John Rauch
1958,31,College,Georgia,Assistant Coach,John Rauch
1959,32,College,Army,Assistant Coach,John Rauch
1960,33,College,Army,Assistant Coach,John Rauch
1961,34,College,Army,Assistant Coach,John Rauch
1962,35,College,Tulane,Assistant Coach,John Rauch
1963,36,NFL,Oakland Raiders,Offensive Backfield,John Rauch
1964,37,NFL,Oakland Raiders,Offensive Backfield,John Rauch
1965,38,NFL,Oakland Raiders,Offensive Backfield,John Rauch
1966,39,NFL,Oakland Raiders,Head Coach,John Rauch
1967,40,NFL,Oakland Raiders,Head Coach,John Rauch
1968,41,NFL,Oakland Raiders,Head Coach,John Rauch
1969,42,NFL,Buffalo Bills,Head Coach,John Rauch
1970,43,NFL,Buffalo Bills,Head Coach,John Rauch
1971,44,NFL,Philadelphia Eagles,Quarterbacks,John Rauch
1972,45,NFL,Philadelphia Eagles,Quarterbacks,John Rauch
1973,46,CFL,Toronto Argonauts,Head Coach,John Rauch
1974,47,CFL,Toronto Argonauts,Head Coach,John Rauch
1975,48,NFL,Atlanta Falcons,Offensive Backfield,John Rauch
1976,49,NFL,Atlanta Falcons,Offensive Coordinator,John Rauch
1976,49,NFL,Tampa Bay Buccaneers,Offensive Coordinator,John Rauch
1961,24,College,Arkansas,Running Backs,Barry Switzer
1962,25,College,Arkansas,Running Backs,Barry Switzer
1963,26,College,Arkansas,Running Backs,Barry Switzer
1964,27,College,Arkansas,Running Backs,Barry Switzer
1965,28,College,Arkansas,Running Backs,Barry Switzer
1966,29,College,Oklahoma,Offensive Coordinator,Barry Switzer
1967,30,College,Oklahoma,Offensive Coordinator,Barry Switzer
1968,31,College,Oklahoma,Offensive Coordinator,Barry Switzer
1969,32,College,Oklahoma,Offensive Coordinator,Barry Switzer
1970,33,College,Oklahoma,Offensive Coordinator,Barry Switzer
1971,34,College,Oklahoma,Offensive Coordinator,Barry Switzer
1972,35,College,Oklahoma,Offensive Coordinator,Barry Switzer
1973,36,College,Oklahoma,Head Coach,Barry Switzer
1974,37,College,Oklahoma,Head Coach,Barry Switzer
1975,38,College,Oklahoma,Head Coach,Barry Switzer
1976,39,College,Oklahoma,Head Coach,Barry Switzer
1977,40,College,Oklahoma,Head Coach,Barry Switzer
1978,41,College,Oklahoma,Head Coach,Barry Switzer
1979,42,College,Oklahoma,Head Coach,Barry Switzer
1980,43,College,Oklahoma,Head Coach,Barry Switzer
1981,44,College,Oklahoma,Head Coach,Barry Switzer
1982,45,College,Oklahoma,Head Coach,Barry Switzer
1983,46,College,Oklahoma,Head Coach,Barry Switzer
1984,47,College,Oklahoma,Head Coach,Barry Switzer
1985,48,College,Oklahoma,Head Coach,Barry Switzer
1986,49,College,Oklahoma,Head Coach,Barry Switzer
1987,50,College,Oklahoma,Head Coach,Barry Switzer
1988,51,College,Oklahoma,Head Coach,Barry Switzer
1994,57,NFL,Dallas Cowboys,Head Coach,Barry Switzer
1995,58,NFL,Dallas Cowboys,Head Coach,Barry Switzer
1996,59,NFL,Dallas Cowboys,Head Coach,Barry Switzer
1997,60,NFL,Dallas Cowboys,Head Coach,Barry Switzer
1978,22,College,Illinois,Running Backs,Brad Childress
1979,23,College,Illinois,Running Backs,Brad Childress
1980,24,College,Illinois,Running Backs,Brad Childress
1981,25,College,Illinois,Wide Receivers,Brad Childress
1982,26,College,Illinois,Wide Receivers,Brad Childress
1983,27,College,Illinois,Wide Receivers,Brad Childress
1984,28,College,Illinois,Wide Receivers,Brad Childress
1985,29,NFL,Indianapolis Colts,Quarterbacks,Brad Childress
1986,30,College,Northern Arizona,Offensive Coordinator,Brad Childress
1987,31,College,Northern Arizona,Offensive Coordinator,Brad Childress
1988,32,College,Northern Arizona,Offensive Coordinator,Brad Childress
1989,33,College,Northern Arizona,Offensive Coordinator,Brad Childress
1990,34,College,Utah,Wide Receivers,Brad Childress
1991,35,College,Wisconsin,Quarterbacks,Brad Childress
1992,36,College,Wisconsin,Quarterbacks,Brad Childress
1993,37,College,Wisconsin,Quarterbacks,Brad Childress
1994,38,College,Wisconsin,Offensive Coordinator,Brad Childress
1995,39,College,Wisconsin,Offensive Coordinator,Brad Childress
1996,40,College,Wisconsin,Offensive Coordinator,Brad Childress
1997,41,College,Wisconsin,Offensive Coordinator,Brad Childress
1998,42,College,Wisconsin,Offensive Coordinator,Brad Childress
1999,43,NFL,Philadelphia Eagles,Quarterbacks,Brad Childress
2000,44,NFL,Philadelphia Eagles,Quarterbacks,Brad Childress
2001,45,NFL,Philadelphia Eagles,Quarterbacks,Brad Childress
2002,46,NFL,Philadelphia Eagles,Offensive Coordinator,Brad Childress
2003,47,NFL,Philadelphia Eagles,Offensive Coordinator,Brad Childress
2004,48,NFL,Philadelphia Eagles,Offensive Coordinator,Brad Childress
2005,49,NFL,Philadelphia Eagles,Offensive Coordinator,Brad Childress
2006,50,NFL,Minnesota Vikings,Head Coach,Brad Childress
2007,51,NFL,Minnesota Vikings,Head Coach,Brad Childress
2008,52,NFL,Minnesota Vikings,Head Coach,Brad Childress
2009,53,NFL,Minnesota Vikings,Head Coach,Brad Childress
2010,54,NFL,Minnesota Vikings,Head Coach,Brad Childress
2012,56,NFL,Cleveland Browns,Offensive Coordinator,Brad Childress
2013,57,NFL,Kansas City Chiefs,Spread Game Analyst,Brad Childress
2014,58,NFL,Kansas City Chiefs,Spread Game Analyst,Brad Childress
2015,59,NFL,Kansas City Chiefs,Spread Game Analyst,Brad Childress
2016,60,NFL,Kansas City Chiefs,Co-Offensive Coordinator,Brad Childress
2017,61,NFL,Kansas City Chiefs,Assistant Head Coach,Brad Childress
2018,62,NFL,Chicago Bears,Offensive Consultant,Brad Childress
2019,63,NFL,Chicago Bears,Senior Offensive Asst.,Brad Childress
1959,26,Junior College,Yuba JC (CA),Assistant Coach,Jim Hanifan
1960,27,Junior College,Yuba JC (CA),Assistant Coach,Jim Hanifan
1961,28,Junior College,Yuba JC (CA),Assistant Coach,Jim Hanifan
1962,29,High School,Charter Oak HS (Covina CA),Head Coach,Jim Hanifan
1963,30,High School,Charter Oak HS (Covina CA),Head Coach,Jim Hanifan
1966,33,College,Utah,Assistant Coach,Jim Hanifan
1967,34,College,Utah,Assistant Coach,Jim Hanifan
1968,35,College,Utah,Assistant Coach,Jim Hanifan
1969,36,College,Utah,Assistant Coach,Jim Hanifan
1970,37,College,California,Offensive Assistant,Jim Hanifan
1971,38,College,California,Offensive Assistant,Jim Hanifan
1972,39,College,San Diego State,Offensive Line,Jim Hanifan
1973,40,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1974,41,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1975,42,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1976,43,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1977,44,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1978,45,NFL,St. Louis Cardinals,Offensive Line,Jim Hanifan
1979,46,NFL,San Diego Chargers,Asst. HC/Offensive Line,Jim Hanifan
1980,47,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1981,48,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1982,49,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1983,50,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1984,51,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1985,52,NFL,St. Louis Cardinals,Head Coach,Jim Hanifan
1987,54,NFL,Atlanta Falcons,Asst. HC/Offensive Line,Jim Hanifan
1988,55,NFL,Atlanta Falcons,Asst. HC/Offensive Line,Jim Hanifan
1989,56,NFL,Atlanta Falcons,Offensive Line/Interim HC,Jim Hanifan
1990,57,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1991,58,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1992,59,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1993,60,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1994,61,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1995,62,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1996,63,NFL,Washington Redskins,Offensive Line,Jim Hanifan
1997,64,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
1998,65,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
1999,66,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
2000,67,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
2001,68,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
2002,69,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
2003,70,NFL,St. Louis Rams,Offensive Line,Jim Hanifan
1962,33,NFL,Oakland Raiders,Defensive Line,Walt Michaels
1963,34,NFL,New York Jets,Defensive Line,Walt Michaels
1964,35,NFL,New York Jets,Defensive Line,Walt Michaels
1965,36,NFL,New York Jets,Defensive Line,Walt Michaels
1966,37,NFL,New York Jets,Defensive Line,Walt Michaels
1967,38,NFL,New York Jets,Linebackers/Defensive Backs,Walt Michaels
1968,39,NFL,New York Jets,Linebackers/Defensive Backs,Walt Michaels
1969,40,NFL,New York Jets,Linebackers/Defensive Backs,Walt Michaels
1970,41,NFL,New York Jets,Linebackers/Defensive Backs,Walt Michaels
1971,42,NFL,New York Jets,Linebackers/Defensive Backs,Walt Michaels
1972,43,NFL,Philadelphia Eagles,Defensive Coordinator,Walt Michaels
1973,44,NFL,Philadelphia Eagles,Defensive Coordinator,Walt Michaels
1974,45,NFL,Philadelphia Eagles,Defensive Coordinator,Walt Michaels
1975,46,NFL,Philadelphia Eagles,Defensive Coordinator,Walt Michaels
1976,47,NFL,New York Jets,Defensive Coordinator,Walt Michaels
1977,48,NFL,New York Jets,Head Coach,Walt Michaels
1978,49,NFL,New York Jets,Head Coach,Walt Michaels
1979,50,NFL,New York Jets,Head Coach,Walt Michaels
1980,51,NFL,New York Jets,Head Coach,Walt Michaels
1981,52,NFL,New York Jets,Head Coach,Walt Michaels
1982,53,NFL,New York Jets,Head Coach,Walt Michaels
1984,55,USFL,New Jersey Generals,Head Coach,Walt Michaels
1985,56,USFL,New Jersey Generals,Head Coach,Walt Michaels
1968,26,College,Florida State,Quarterbacks,Dan Henning
1969,27,College,Florida State,Quarterbacks,Dan Henning
1970,28,College,Florida State,Quarterbacks,Dan Henning
1971,29,College,Virginia Tech,Offensive Coordinator,Dan Henning
1972,30,NFL,Houston Oilers,QB/Receivers Coach,Dan Henning
1973,31,College,Virginia Tech,Offensive Coordinator,Dan Henning
1974,32,College,Florida State,Assistant Coach,Dan Henning
1976,34,NFL,New York Jets,QB/Receivers Coach,Dan Henning
1977,35,NFL,New York Jets,QB/Receivers Coach,Dan Henning
1978,36,NFL,New York Jets,QB/Receivers Coach,Dan Henning
1979,37,NFL,Miami Dolphins,Quarterbacks,Dan Henning
1980,38,NFL,Miami Dolphins,Quarterbacks,Dan Henning
1981,39,NFL,Washington Redskins,Offensive Assistant,Dan Henning
1982,40,NFL,Washington Redskins,Offensive Assistant,Dan Henning
1983,41,NFL,Atlanta Falcons,Head Coach,Dan Henning
1984,42,NFL,Atlanta Falcons,Head Coach,Dan Henning
1985,43,NFL,Atlanta Falcons,Head Coach,Dan Henning
1986,44,NFL,Atlanta Falcons,Head Coach,Dan Henning
1987,45,NFL,Washington Redskins,Offensive Coordinator,Dan Henning
1988,46,NFL,Washington Redskins,Offensive Coordinator,Dan Henning
1989,47,NFL,San Diego Chargers,Head Coach,Dan Henning
1990,48,NFL,San Diego Chargers,Head Coach,Dan Henning
1991,49,NFL,San Diego Chargers,Head Coach,Dan Henning
1992,50,NFL,Detroit Lions,Offensive Coordinator,Dan Henning
1993,51,NFL,Detroit Lions,Offensive Coordinator,Dan Henning
1994,52,College,Boston College,Head Coach,Dan Henning
1995,53,College,Boston College,Head Coach,Dan Henning
1996,54,College,Boston College,Head Coach,Dan Henning
1997,55,NFL,Buffalo Bills,Offensive Coordinator,Dan Henning
1998,56,NFL,New York Jets,Quarterbacks,Dan Henning
1999,57,NFL,New York Jets,Quarterbacks,Dan Henning
2000,58,NFL,New York Jets,Offensive Coordinator,Dan Henning
2002,60,NFL,Carolina Panthers,Offensive Coordinator,Dan Henning
2003,61,NFL,Carolina Panthers,Offensive Coordinator,Dan Henning
2004,62,NFL,Carolina Panthers,Offensive Coordinator,Dan Henning
2005,63,NFL,Carolina Panthers,Offensive Coordinator,Dan Henning
2006,64,NFL,Carolina Panthers,Offensive Coordinator,Dan Henning
2008,66,NFL,Miami Dolphins,Offensive Coordinator,Dan Henning
2009,67,NFL,Miami Dolphins,Offensive Coordinator,Dan Henning
2010,68,NFL,Miami Dolphins,Offensive Coordinator,Dan Henning
1992,28,College (NCAA D-III),Cortland State,Tight Ends,Doug Marrone
1993,29,College (NCAA D-III),Coast Guard,Offensive Line,Doug Marrone
1994,30,College (FCS),Northeastern,Offensive Line,Doug Marrone
1996,32,College (FBS),Georgia Tech,Tight Ends,Doug Marrone
1997,33,College (FBS),Georgia Tech,Offensive Line,Doug Marrone
1998,34,College (FBS),Georgia Tech,Offensive Line,Doug Marrone
1999,35,College (FBS),Georgia Tech,Offensive Line,Doug Marrone
2000,36,College (FBS),Georgia,Offensive Line,Doug Marrone
2001,37,College (FBS),Tennessee,Tight Ends/Offensive Tackles,Doug Marrone
2002,38,NFL,New York Jets,Offensive Line,Doug Marrone
2003,39,NFL,New York Jets,Offensive Line,Doug Marrone
2004,40,NFL,New York Jets,Offensive Line,Doug Marrone
2005,41,NFL,New York Jets,Offensive Line,Doug Marrone
2006,42,NFL,New Orleans Saints,Offensive Coordinator,Doug Marrone
2007,43,NFL,New Orleans Saints,Offensive Coordinator,Doug Marrone
2008,44,NFL,New Orleans Saints,Offensive Coordinator,Doug Marrone
2009,45,College (FBS),Syracuse,Head Coach,Doug Marrone
2010,46,College (FBS),Syracuse,Head Coach,Doug Marrone
2011,47,College (FBS),Syracuse,Head Coach,Doug Marrone
2012,48,College (FBS),Syracuse,Head Coach,Doug Marrone
2013,49,NFL,Buffalo Bills,Head Coach,Doug Marrone
2014,50,NFL,Buffalo Bills,Head Coach,Doug Marrone
2015,51,NFL,Jacksonville Jaguars,Asst. Head Coach/Offensive Line,Doug Marrone
2016,52,NFL,Jacksonville Jaguars,Asst. Head Coach/Offensive Line/Interim Head Coach,Doug Marrone
2017,53,NFL,Jacksonville Jaguars,Head Coach,Doug Marrone
2018,54,NFL,Jacksonville Jaguars,Head Coach,Doug Marrone
2019,55,NFL,Jacksonville Jaguars,Head Coach,Doug Marrone
2020,56,NFL,Jacksonville Jaguars,Head Coach,Doug Marrone
1981,31,NFL,San Francisco 49ers,Asst. DB Coach,Ray Rhodes
1982,32,NFL,San Francisco 49ers,Asst. DB Coach,Ray Rhodes
1983,33,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1984,34,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1985,35,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1986,36,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1987,37,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1988,38,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1989,39,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1990,40,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1991,41,NFL,San Francisco 49ers,Defensive Backs,Ray Rhodes
1992,42,NFL,Green Bay Packers,Defensive Coordinator,Ray Rhodes
1993,43,NFL,Green Bay Packers,Defensive Coordinator,Ray Rhodes
1994,44,NFL,San Francisco 49ers,Defensive Coordinator,Ray Rhodes
1995,45,NFL,Philadelphia Eagles,Head Coach,Ray Rhodes
1996,46,NFL,Philadelphia Eagles,Head Coach,Ray Rhodes
1997,47,NFL,Philadelphia Eagles,Head Coach,Ray Rhodes
1998,48,NFL,Philadelphia Eagles,Head Coach,Ray Rhodes
1999,49,NFL,Green Bay Packers,Head Coach,Ray Rhodes
2000,50,NFL,Washington Redskins,Defensive Coordinator,Ray Rhodes
2001,51,NFL,Denver Broncos,Defensive Coordinator,Ray Rhodes
2002,52,NFL,Denver Broncos,Defensive Coordinator,Ray Rhodes
2003,53,NFL,Seattle Seahawks,Defensive Coordinator,Ray Rhodes
2004,54,NFL,Seattle Seahawks,Defensive Coordinator,Ray Rhodes
2005,55,NFL,Seattle Seahawks,Defensive Coordinator,Ray Rhodes
2006,56,NFL,Seattle Seahawks,Defensive Coordinator,Ray Rhodes
2007,57,NFL,Seattle Seahawks,Defensive Coordinator,Ray Rhodes
2008,58,NFL,Houston Texans,Defensive Assistant,Ray Rhodes
2009,59,NFL,Houston Texans,Defensive Assistant,Ray Rhodes
2010,60,NFL,Houston Texans,Defensive Assistant,Ray Rhodes
